"kri","ggi_indicator","nom","business_label","sub_business_label","comment","snapshot_date","pending_date","traitement","exposure_days"
"E-learning non fini","21448","Alice Dupont #9103","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","76994","Bob Martin #9104","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","20329","Charlie Durand #9106","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","21454","Alice Dupont #9109","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","77000","Bob Martin #9110","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","20335","Charlie Durand #9112","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","21460","Alice Dupont #9115","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","77006","Bob Martin #9116","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","20341","Charlie Durand #9118","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","21466","Alice Dupont #9121","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","77012","Bob Martin #9122","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","20347","Charlie Durand #9124","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","21472","Alice Dupont #9127","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","77018","Bob Martin #9128","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","20353","Charlie Durand #9130","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","21478","Alice Dupont #9133","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","77024","Bob Martin #9134","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","20359","Charlie Durand #9136","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","21484","Alice Dupont #9139","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","77030","Bob Martin #9140","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","20365","Charlie Durand #9142","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","21490","Alice Dupont #9145","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","77036","Bob Martin #9146","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","20371","Charlie Durand #9148","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","21496","Alice Dupont #9151","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","77042","Bob Martin #9152","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","20377","Charlie Durand #9154","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","21502","Alice Dupont #9157","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","77048","Bob Martin #9158","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","20383","Charlie Durand #9160","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","21508","Alice Dupont #9163","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","77054","Bob Martin #9164","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","20389","Charlie Durand #9166","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","21514","Alice Dupont #9169","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","77060","Bob Martin #9170","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","20395","Charlie Durand #9172","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","21520","Alice Dupont #9175","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","77066","Bob Martin #9176","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","20401","Charlie Durand #9178","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","21526","Alice Dupont #9181","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","77072","Bob Martin #9182","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","20407","Charlie Durand #9184","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","21532","Alice Dupont #9187","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","77078","Bob Martin #9188","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","20413","Charlie Durand #9190","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","21538","Alice Dupont #9193","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","77084","Bob Martin #9194","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","20419","Charlie Durand #9196","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","21544","Alice Dupont #9199","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","77090","Bob Martin #9200","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","20425","Charlie Durand #9202","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","21550","Alice Dupont #9205","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","77096","Bob Martin #9206","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","20431","Charlie Durand #9208","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","21556","Alice Dupont #9211","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","77102","Bob Martin #9212","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","20437","Charlie Durand #9214","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","21562","Alice Dupont #9217","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","77108","Bob Martin #9218","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","20443","Charlie Durand #9220","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","21568","Alice Dupont #9223","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","77114","Bob Martin #9224","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","20449","Charlie Durand #9226","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","21574","Alice Dupont #9229","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","77120","Bob Martin #9230","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","20455","Charlie Durand #9232","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","21580","Alice Dupont #9235","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","77126","Bob Martin #9236","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","20461","Charlie Durand #9238","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","21586","Alice Dupont #9241","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","77132","Bob Martin #9242","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","20467","Charlie Durand #9244","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","21592","Alice Dupont #9247","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","77138","Bob Martin #9248","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","20473","Charlie Durand #9250","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","21598","Alice Dupont #9253","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","77144","Bob Martin #9254","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","20479","Charlie Durand #9256","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","21604","Alice Dupont #9259","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","77150","Bob Martin #9260","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","20485","Charlie Durand #9262","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","21610","Alice Dupont #9265","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","77156","Bob Martin #9266","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","20491","Charlie Durand #9268","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","21616","Alice Dupont #9271","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","77162","Bob Martin #9272","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","20497","Charlie Durand #9274","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","21622","Alice Dupont #9277","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","77168","Bob Martin #9278","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","20503","Charlie Durand #9280","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","21628","Alice Dupont #9283","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","77174","Bob Martin #9284","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","20509","Charlie Durand #9286","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","21634","Alice Dupont #9289","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","77180","Bob Martin #9290","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","20515","Charlie Durand #9292","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","21640","Alice Dupont #9295","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","77186","Bob Martin #9296","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","20521","Charlie Durand #9298","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","21646","Alice Dupont #9301","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","77192","Bob Martin #9302","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","20527","Charlie Durand #9304","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","21652","Alice Dupont #9307","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","77198","Bob Martin #9308","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","20533","Charlie Durand #9310","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","21658","Alice Dupont #9313","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","77204","Bob Martin #9314","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","20539","Charlie Durand #9316","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","21664","Alice Dupont #9319","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","77210","Bob Martin #9320","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","20545","Charlie Durand #9322","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","21670","Alice Dupont #9325","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","77216","Bob Martin #9326","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","20551","Charlie Durand #9328","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","21676","Alice Dupont #9331","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","77222","Bob Martin #9332","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","20557","Charlie Durand #9334","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","21682","Alice Dupont #9337","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","77228","Bob Martin #9338","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","20563","Charlie Durand #9340","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","21688","Alice Dupont #9343","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","77234","Bob Martin #9344","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","20569","Charlie Durand #9346","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","21694","Alice Dupont #9349","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","77240","Bob Martin #9350","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","20575","Charlie Durand #9352","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","21700","Alice Dupont #9355","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","77246","Bob Martin #9356","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","20581","Charlie Durand #9358","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","21706","Alice Dupont #9361","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","77252","Bob Martin #9362","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","20587","Charlie Durand #9364","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","21712","Alice Dupont #9367","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","77258","Bob Martin #9368","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","20593","Charlie Durand #9370","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","21718","Alice Dupont #9373","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","77264","Bob Martin #9374","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","20599","Charlie Durand #9376","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","21724","Alice Dupont #9379","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","77270","Bob Martin #9380","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","20605","Charlie Durand #9382","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","21730","Alice Dupont #9385","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","77276","Bob Martin #9386","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","20611","Charlie Durand #9388","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","21736","Alice Dupont #9391","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","77282","Bob Martin #9392","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","20617","Charlie Durand #9394","","","E-learning non fini","2023-10-06","","no","13.0"
